DATE,CPIAUCSL
01/01/1947,21.48
01/02/1947,21.62
01/03/1947,22
01/04/1947,22
01/05/1947,21.95
01/06/1947,22.08
01/07/1947,22.23
01/08/1947,22.4
01/09/1947,22.84
01/10/1947,22.91
01/11/1947,23.06
01/12/1947,23.41
01/01/1948,23.68
01/02/1948,23.67
01/03/1948,23.5
01/04/1948,23.82
01/05/1948,24.01
01/06/1948,24.15
01/07/1948,24.4
01/08/1948,24.43
01/09/1948,24.36
01/10/1948,24.31
01/11/1948,24.16
01/12/1948,24.05
01/01/1949,24.01
01/02/1949,23.91
01/03/1949,23.91
01/04/1949,23.92
01/05/1949,23.91
01/06/1949,23.92
01/07/1949,23.7
01/08/1949,23.7
01/09/1949,23.75
01/10/1949,23.67
01/11/1949,23.7
01/12/1949,23.61
01/01/1950,23.51
01/02/1950,23.61
01/03/1950,23.64
01/04/1950,23.65
01/05/1950,23.77
01/06/1950,23.88
01/07/1950,24.07
01/08/1950,24.2
01/09/1950,24.34
01/10/1950,24.5
01/11/1950,24.6
01/12/1950,24.98
01/01/1951,25.38
01/02/1951,25.83
01/03/1951,25.88
01/04/1951,25.92
01/05/1951,25.99
01/06/1951,25.93
01/07/1951,25.91
01/08/1951,25.86
01/09/1951,26.03
01/10/1951,26.16
01/11/1951,26.32
01/12/1951,26.47
01/01/1952,26.45
01/02/1952,26.41
01/03/1952,26.39
01/04/1952,26.46
01/05/1952,26.47
01/06/1952,26.53
01/07/1952,26.68
01/08/1952,26.69
01/09/1952,26.63
01/10/1952,26.69
01/11/1952,26.69
01/12/1952,26.71
01/01/1953,26.64
01/02/1953,26.59
01/03/1953,26.63
01/04/1953,26.69
01/05/1953,26.7
01/06/1953,26.77
01/07/1953,26.79
01/08/1953,26.85
01/09/1953,26.89
01/10/1953,26.95
01/11/1953,26.85
01/12/1953,26.87
01/01/1954,26.94
01/02/1954,26.99
01/03/1954,26.93
01/04/1954,26.86
01/05/1954,26.93
01/06/1954,26.94
01/07/1954,26.86
01/08/1954,26.85
01/09/1954,26.81
01/10/1954,26.72
01/11/1954,26.78
01/12/1954,26.77
01/01/1955,26.77
01/02/1955,26.82
01/03/1955,26.79
01/04/1955,26.79
01/05/1955,26.77
01/06/1955,26.71
01/07/1955,26.76
01/08/1955,26.72
01/09/1955,26.85
01/10/1955,26.82
01/11/1955,26.88
01/12/1955,26.87
01/01/1956,26.83
01/02/1956,26.86
01/03/1956,26.89
01/04/1956,26.93
01/05/1956,27.03
01/06/1956,27.15
01/07/1956,27.29
01/08/1956,27.31
01/09/1956,27.35
01/10/1956,27.51
01/11/1956,27.51
01/12/1956,27.63
01/01/1957,27.67
01/02/1957,27.8
01/03/1957,27.86
01/04/1957,27.93
01/05/1957,28
01/06/1957,28.11
01/07/1957,28.19
01/08/1957,28.28
01/09/1957,28.32
01/10/1957,28.32
01/11/1957,28.41
01/12/1957,28.47
01/01/1958,28.64
01/02/1958,28.7
01/03/1958,28.87
01/04/1958,28.94
01/05/1958,28.94
01/06/1958,28.91
01/07/1958,28.89
01/08/1958,28.94
01/09/1958,28.91
01/10/1958,28.91
01/11/1958,28.95
01/12/1958,28.97
01/01/1959,29.01
01/02/1959,29
01/03/1959,28.97
01/04/1959,28.98
01/05/1959,29.04
01/06/1959,29.11
01/07/1959,29.15
01/08/1959,29.18
01/09/1959,29.25
01/10/1959,29.35
01/11/1959,29.35
01/12/1959,29.41
01/01/1960,29.8
01/02/1960,29.8
01/03/1960,29.8
01/04/1960,29.8
01/05/1960,29.8
01/06/1960,29.8
01/07/1960,29.8
01/08/1960,29.8
01/09/1960,29.8
01/10/1960,30
01/11/1960,29.9
01/12/1960,30
01/01/1961,30
01/02/1961,30
01/03/1961,30
01/04/1961,30
01/05/1961,30.1
01/06/1961,30.1
01/07/1961,30.2
01/08/1961,30.2
01/09/1961,30.2
01/10/1961,30.3
01/11/1961,30.3
01/12/1961,30.4
01/01/1962,30.4
01/02/1962,30.4
01/03/1962,30.4
01/04/1962,30.4
01/05/1962,30.4
01/06/1962,30.5
01/07/1962,30.5
01/08/1962,30.5
01/09/1962,30.6
01/10/1962,30.7
01/11/1962,30.7
01/12/1962,30.7
01/01/1963,30.8
01/02/1963,30.8
01/03/1963,30.9
01/04/1963,30.9
01/05/1963,30.9
01/06/1963,30.9
01/07/1963,30.9
01/08/1963,30.9
01/09/1963,31
01/10/1963,31.1
01/11/1963,31
01/12/1963,31.1
01/01/1964,31.1
01/02/1964,31.2
01/03/1964,31.2
01/04/1964,31.2
01/05/1964,31.2
01/06/1964,31.3
01/07/1964,31.4
01/08/1964,31.4
01/09/1964,31.6
01/10/1964,31.6
01/11/1964,31.6
01/12/1964,31.6
01/01/1965,31.7
01/02/1965,31.7
01/03/1965,31.8
01/04/1965,31.8
01/05/1965,32
01/06/1965,32.1
01/07/1965,32.3
01/08/1965,32.3
01/09/1965,32.4
01/10/1965,32.5
01/11/1965,32.7
01/12/1965,32.7
01/01/1966,32.9
01/02/1966,32.9
01/03/1966,32.9
01/04/1966,32.9
01/05/1966,32.9
01/06/1966,33
01/07/1966,33.1
01/08/1966,33.2
01/09/1966,33.3
01/10/1966,33.4
01/11/1966,33.5
01/12/1966,33.6
01/01/1967,33.7
01/02/1967,33.8
01/03/1967,33.9
01/04/1967,34.1
01/05/1967,34.2
01/06/1967,34.3
01/07/1967,34.4
01/08/1967,34.5
01/09/1967,34.7
01/10/1967,34.9
01/11/1967,35
01/12/1967,35.1
01/01/1968,35.3
01/02/1968,35.4
01/03/1968,35.5
01/04/1968,35.6
01/05/1968,35.8
01/06/1968,36.1
01/07/1968,36.3
01/08/1968,36.4
01/09/1968,36.6
01/10/1968,36.8
01/11/1968,37
01/12/1968,37.1
01/01/1969,37.3
01/02/1969,37.5
01/03/1969,37.7
01/04/1969,37.8
01/05/1969,38
01/06/1969,38.2
01/07/1969,38.5
01/08/1969,38.6
01/09/1969,38.8
01/10/1969,39
01/11/1969,39
01/12/1969,39.2
01/01/1970,39.4
01/02/1970,39.6
01/03/1970,39.8
01/04/1970,39.8
01/05/1970,39.9
01/06/1970,40
01/07/1970,40.1
01/08/1970,40.3
01/09/1970,40.6
01/10/1970,40.7
01/11/1970,40.8
01/12/1970,40.8
01/01/1971,40.9
01/02/1971,40.9
01/03/1971,41.1
01/04/1971,41.1
01/05/1971,41.3
01/06/1971,41.4
01/07/1971,41.5
01/08/1971,41.6
01/09/1971,41.7
01/10/1971,41.9
01/11/1971,42
01/12/1971,42.1
01/01/1972,42.3
01/02/1972,42.4
01/03/1972,42.5
01/04/1972,42.6
01/05/1972,42.9
01/06/1972,43.3
01/07/1972,43.6
01/08/1972,43.9
01/09/1972,44.2
01/10/1972,44.3
01/11/1972,45.1
01/12/1972,45.2
01/01/1973,45.6
01/02/1973,45.9
01/03/1973,46.2
01/04/1973,46.6
01/05/1973,47.2
01/06/1973,47.8
01/07/1973,48
01/08/1973,48.6
01/09/1973,49
01/10/1973,49.4
01/11/1973,50
01/12/1973,50.6
01/01/1974,51.1
01/02/1974,51.5
01/03/1974,51.9
01/04/1974,52.1
01/05/1974,52.5
01/06/1974,52.7
01/07/1974,52.9
01/08/1974,53.2
01/09/1974,53.6
01/10/1974,54.2
01/11/1974,54.3
01/12/1974,54.6
01/01/1975,54.9
01/02/1975,55.3
01/03/1975,55.5
01/04/1975,55.6
01/05/1975,55.8
01/06/1975,55.9
01/07/1975,56.1
01/08/1975,56.5
01/09/1975,56.8
01/10/1975,57.1
01/11/1975,57.4
01/12/1975,57.6
01/01/1976,57.9
01/02/1976,58
01/03/1976,58.2
01/04/1976,58.5
01/05/1976,59.1
01/06/1976,59.5
01/07/1976,60
01/08/1976,60.3
01/09/1976,60.7
01/10/1976,61
01/11/1976,61.2
01/12/1976,61.4
01/01/1977,61.6
01/02/1977,61.9
01/03/1977,62.1
01/04/1977,62.5
01/05/1977,62.9
01/06/1977,63.4
01/07/1977,63.9
01/08/1977,64.5
01/09/1977,65.2
01/10/1977,65.7
01/11/1977,66
01/12/1977,66.5
01/01/1978,67.1
01/02/1978,67.4
01/03/1978,67.7
01/04/1978,68.3
01/05/1978,69.1
01/06/1978,69.8
01/07/1978,70.6
01/08/1978,71.5
01/09/1978,72.3
01/10/1978,73.1
01/11/1978,73.8
01/12/1978,74.6
01/01/1979,75.2
01/02/1979,75.9
01/03/1979,76.7
01/04/1979,77.8
01/05/1979,78.9
01/06/1979,80.1
01/07/1979,81
01/08/1979,81.8
01/09/1979,82.7
01/10/1979,82.7
01/11/1979,83.3
01/12/1979,84
01/01/1980,84.8
01/02/1980,85.5
01/03/1980,86.3
01/04/1980,87
01/05/1980,87.9
01/06/1980,88.5
01/07/1980,89.1
01/08/1980,89.8
01/09/1980,90.6
01/10/1980,91.6
01/11/1980,92.3
01/12/1980,93.2
01/01/1981,93.4
01/02/1981,93.7
01/03/1981,94
01/04/1981,94.3
01/05/1981,94.6
01/06/1981,94.5
01/07/1981,94.9
01/08/1981,95.8
01/09/1981,97
01/10/1981,97.5
01/11/1981,97.7
01/12/1981,97.9
01/01/1982,98.2
01/02/1982,98
01/03/1982,97.6
01/04/1982,97.8
01/05/1982,97.9
01/06/1982,97.9
01/07/1982,98.6
01/08/1982,99.2
01/09/1982,99.5
01/10/1982,99.9
01/11/1982,100.2
01/12/1982,100.7
01/01/1983,101
01/02/1983,101.2
01/03/1983,101.3
01/04/1983,101.9
01/05/1983,102.4
01/06/1983,102.6
01/07/1983,103.1
01/08/1983,103.4
01/09/1983,103.7
01/10/1983,104.1
01/11/1983,104.5
01/12/1983,105
01/01/1984,105.3
01/02/1984,105.3
01/03/1984,105.3
01/04/1984,105.5
01/05/1984,106
01/06/1984,106.4
01/07/1984,106.9
01/08/1984,107.3
01/09/1984,107.6
01/10/1984,107.8
01/11/1984,108
01/12/1984,108.3
01/01/1985,108.7
01/02/1985,109
01/03/1985,109.3
01/04/1985,109.6
01/05/1985,109.3
01/06/1985,108.8
01/07/1985,108.6
01/08/1985,108.9
01/09/1985,109.5
01/10/1985,109.5
01/11/1985,109.7
01/12/1985,110.2
01/01/1986,110.3
01/02/1986,110.4
01/03/1986,110.5
01/04/1986,111.2
01/05/1986,111.6
01/06/1986,112.1
01/07/1986,112.7
01/08/1986,113.1
01/09/1986,113.5
01/10/1986,113.8
01/11/1986,114.4
01/12/1986,115
01/01/1987,115.3
01/02/1987,115.4
01/03/1987,115.4
01/04/1987,115.7
01/05/1987,116
01/06/1987,116.5
01/07/1987,117.1
01/08/1987,117.5
01/09/1987,118
01/10/1987,118.5
01/11/1987,119
01/12/1987,119.8
01/01/1988,120.2
01/02/1988,120.3
01/03/1988,120.5
01/04/1988,121.1
01/05/1988,121.6
01/06/1988,122.3
01/07/1988,123.1
01/08/1988,123.8
01/09/1988,124.1
01/10/1988,124.4
01/11/1988,124.6
01/12/1988,125
01/01/1989,125.6
01/02/1989,125.9
01/03/1989,126.1
01/04/1989,127.4
01/05/1989,128
01/06/1989,128.7
01/07/1989,128.9
01/08/1989,129.2
01/09/1989,129.9
01/10/1989,130.4
01/11/1989,131.6
01/12/1989,132.7
01/01/1990,133.5
01/02/1990,133.8
01/03/1990,133.8
01/04/1990,134.6
01/05/1990,134.8
01/06/1990,135
01/07/1990,135.2
01/08/1990,135.6
01/09/1990,136
01/10/1990,136.2
01/11/1990,136.6
01/12/1990,137.2
01/01/1991,137.4
01/02/1991,137.8
01/03/1991,137.9
01/04/1991,138.1
01/05/1991,138.6
01/06/1991,139.3
01/07/1991,139.5
01/08/1991,139.7
01/09/1991,140.2
01/10/1991,140.5
01/11/1991,140.9
01/12/1991,141.3
01/01/1992,141.8
01/02/1992,142
01/03/1992,141.9
01/04/1992,142.6
01/05/1992,143.1
01/06/1992,143.6
01/07/1992,144
01/08/1992,144.2
01/09/1992,144.4
01/10/1992,144.4
01/11/1992,144.8
01/12/1992,145.1
01/01/1993,145.7
01/02/1993,145.8
01/03/1993,145.8
01/04/1993,146.2
01/05/1993,146.7
01/06/1993,147.2
01/07/1993,147.4
01/08/1993,147.5
01/09/1993,148
01/10/1993,148.4
01/11/1993,149
01/12/1993,149.4
01/01/1994,149.5
01/02/1994,149.7
01/03/1994,149.7
01/04/1994,150.3
01/05/1994,150.9
01/06/1994,151.4
01/07/1994,151.9
01/08/1994,152.2
01/09/1994,152.5
01/10/1994,152.5
01/11/1994,152.9
01/12/1994,153.2
01/01/1995,153.7
01/02/1995,153.6
01/03/1995,153.5
01/04/1995,154.4
01/05/1995,154.9
01/06/1995,155.7
01/07/1995,156.3
01/08/1995,156.6
01/09/1995,156.7
01/10/1995,157
01/11/1995,157.3
01/12/1995,157.8
01/01/1996,158.3
01/02/1996,158.6
01/03/1996,158.6
01/04/1996,159.1
01/05/1996,159.6
01/06/1996,160
01/07/1996,160.2
01/08/1996,160.1
01/09/1996,160.3
01/10/1996,160.5
01/11/1996,160.8
01/12/1996,161.2
01/01/1997,161.6
01/02/1997,161.5
01/03/1997,161.3
01/04/1997,161.6
01/05/1997,161.9
01/06/1997,162.2
01/07/1997,162.5
01/08/1997,162.8
01/09/1997,163
01/10/1997,163.2
01/11/1997,163.4
01/12/1997,163.6
01/01/1998,164
01/02/1998,164
01/03/1998,163.9
01/04/1998,164.3
01/05/1998,164.5
01/06/1998,165
01/07/1998,166.2
01/08/1998,166.2
01/09/1998,166.2
