,symbol,companyName,marketCap,sector,industry,beta,price,lastAnnualDividend,volume,exchange,exchangeShortName,country,isEtf,isFund,isActivelyTrading
0,MSFT,Microsoft Corporation,2992906927600,Technology,Software—Infrastructure,0.89,402.79,3.0,5330687,NASDAQ Global Select,NASDAQ,US,False,False,True
1,AAPL,Apple Inc.,2662415188500,Technology,Consumer Electronics,1.289,172.415,0.96,23297980,NASDAQ Global Select,NASDAQ,US,False,False,True
2,NVDA,NVIDIA Corporation,2179511250000,Technology,Semiconductors,1.725,871.8045,0.16,33188939,NASDAQ Global Select,NASDAQ,US,False,False,True
3,AMZN,"Amazon.com, Inc.",1792107998540,Consumer Cyclical,Internet Retail,1.171,172.5271,0.0,11595419,NASDAQ Global Select,NASDAQ,US,False,False,True
4,GOOGL,Alphabet Inc.,1722336302297,Communication Services,Internet Content & Information,1.044,138.12,0.0,10843709,NASDAQ Global Select,NASDAQ,US,False,False,True
5,GOOG,Alphabet Inc.,1722241998404,Communication Services,Internet Content & Information,1.044,139.01,0.0,7635789,NASDAQ Global Select,NASDAQ,US,False,False,True
6,META,"Meta Platforms, Inc.",1238768797845,Communication Services,Internet Content & Information,1.208,485.905,2.0,11191763,NASDAQ Global Select,NASDAQ,US,False,False,True
7,AVGO,Broadcom Inc.,597303326900,Technology,Semiconductors,1.273,1288.9,21.0,1297086,NASDAQ Global Select,NASDAQ,US,False,False,True
8,TSLA,"Tesla, Inc.",567944237658,Consumer Cyclical,Auto Manufacturers,2.415,178.3302,0.0,42496155,NASDAQ Global Select,NASDAQ,US,False,False,True
9,AMD,"Advanced Micro Devices, Inc.",323844710750,Technology,Semiconductors,1.651,200.425,0.0,32562414,NASDAQ Global Select,NASDAQ,US,False,False,True
10,COST,Costco Wholesale Corporation,316937161280,Consumer Defensive,Discount Stores,0.765,714.26,4.08,1467060,NASDAQ Global Select,NASDAQ,US,False,False,True
11,NFLX,"Netflix, Inc.",263148373200,Communication Services,Entertainment,1.219,608.07,0.0,884242,NASDAQ Global Select,NASDAQ,US,False,False,True
12,ADBE,Adobe Inc.,251768520000,Technology,Software—Infrastructure,1.294,557.01,0.0,944158,NASDAQ Global Select,NASDAQ,US,False,False,True
13,PEP,"PepsiCo, Inc.",224966702400,Consumer Defensive,Beverages—Non-Alcoholic,0.534,163.68,5.06,1235991,NASDAQ Global Select,NASDAQ,US,False,False,True
14,CSCO,"Cisco Systems, Inc.",201892613400,Technology,Communication Equipment,0.853,49.86,1.6,4261486,NASDAQ Global Select,NASDAQ,US,False,False,True
