,symbol,companyName,marketCap,sector,industry,beta,price,lastAnnualDividend,volume,exchange,exchangeShortName,country,isEtf,isFund,isActivelyTrading
0,BRK-B,Berkshire Hathaway Inc.,875683147687,Financial Services,Insurance—Diversified,0.894,403.952,0.0,655169,New York Stock Exchange,NYSE,US,False,False,True
1,BRK-A,Berkshire Hathaway Inc.,872432136055,Financial Services,Insurance—Diversified,0.894,609365.0,0.0,14992,New York Stock Exchange,NYSE,US,False,False,True
2,LLY,Eli Lilly and Company,693752742960,Healthcare,Drug Manufacturers—General,0.344,730.14,5.2,1621799,New York Stock Exchange,NYSE,US,False,False,True
3,V,Visa Inc.,561124625560,Financial Services,Credit Services,0.962,279.31,2.08,935816,New York Stock Exchange,NYSE,US,False,False,True
4,JPM,JPMorgan Chase & Co.,538672395550,Financial Services,Banks—Diversified,1.127,187.015,4.2,1571995,New York Stock Exchange,NYSE,US,False,False,True
5,WMT,Walmart Inc.,483255980690,Consumer Defensive,Discount Stores,0.497,60.011,0.83,3351976,New York Stock Exchange,NYSE,US,False,False,True
6,UNH,UnitedHealth Group Incorporated,447875537200,Healthcare,Healthcare Plans,0.546,485.8,7.52,1344228,New York Stock Exchange,NYSE,US,False,False,True
7,MA,Mastercard Incorporated,432377441610,Financial Services,Credit Services,1.078,467.07,2.64,337240,New York Stock Exchange,NYSE,US,False,False,True
8,XOM,Exxon Mobil Corporation,428685830384,Energy,Oil & Gas Integrated,0.947,108.0401,3.8,5080649,New York Stock Exchange,NYSE,US,False,False,True
9,JNJ,Johnson & Johnson,384738138603,Healthcare,Drug Manufacturers—General,0.531,159.7239,4.76,1006565,New York Stock Exchange,NYSE,US,False,False,True
10,PG,The Procter & Gamble Company,379071522000,Consumer Defensive,Household & Personal Products,0.43,161.1,3.76,1798455,New York Stock Exchange,NYSE,US,False,False,True
11,HD,"The Home Depot, Inc.",368266845240,Consumer Cyclical,Home Improvement Retail,0.99,370.02,9.0,710988,New York Stock Exchange,NYSE,US,False,False,True
12,ABBV,AbbVie Inc.,315111750950,Healthcare,Drug Manufacturers—General,0.555,178.385,6.2,1301369,New York Stock Exchange,NYSE,US,False,False,True
13,ORCL,Oracle Corporation,312222333600,Technology,Software—Infrastructure,0.994,113.58,1.6,3163031,New York Stock Exchange,NYSE,US,False,False,True
14,MRK,"Merck & Co., Inc.",309691219200,Healthcare,Drug Manufacturers—General,0.384,122.28,3.08,1537181,New York Stock Exchange,NYSE,US,False,False,True
15,CRM,"Salesforce, Inc.",295190400000,Technology,Software—Application,1.283,304.32,1.6,1234103,New York Stock Exchange,NYSE,US,False,False,True
16,BAC,Bank of America Corporation,280069879500,Financial Services,Banks—Diversified,1.388,35.575,0.96,8033915,New York Stock Exchange,NYSE,US,False,False,True
17,CVX,Chevron Corporation,279667716600,Energy,Oil & Gas Integrated,1.118,150.58,6.52,2149293,New York Stock Exchange,NYSE,US,False,False,True
18,KO,The Coca-Cola Company,258122293300,Consumer Defensive,Beverages—Non-Alcoholic,0.591,59.855,1.94,3157841,New York Stock Exchange,NYSE,US,False,False,True
19,TMO,Thermo Fisher Scientific Inc.,229817929320,Healthcare,Diagnostics & Research,0.813,594.81,1.4,358275,New York Stock Exchange,NYSE,US,False,False,True
20,MCD,McDonald's Corporation,211257974160,Consumer Cyclical,Restaurants,0.718,292.58,6.68,635556,New York Stock Exchange,NYSE,US,False,False,True
21,ABT,Abbott Laboratories,208568636000,Healthcare,Medical Devices,0.743,120.2,2.2,788920,New York Stock Exchange,NYSE,US,False,False,True
22,DIS,The Walt Disney Company,204673578590,Communication Services,Entertainment,1.412,111.5813,0.9,2124031,New York Stock Exchange,NYSE,US,False,False,True
23,WFC,Wells Fargo & Company,203717320800,Financial Services,Banks—Diversified,1.196,56.945,1.4,3924854,New York Stock Exchange,NYSE,US,False,False,True
24,DHR,Danaher Corporation,186656402680,Healthcare,Diagnostics & Research,0.86,252.34,1.08,343332,New York Stock Exchange,NYSE,US,False,False,True
25,GE,General Electric Company,180738963100,Industrials,Specialty Industrial Machinery,1.217,166.07,0.32,3304870,New York Stock Exchange,NYSE,US,False,False,True
26,IBM,International Business Machines Corporation,175560334480,Technology,Information Technology Services,0.708,191.504,6.64,1337269,New York Stock Exchange,NYSE,US,False,False,True
27,VZ,Verizon Communications Inc.,167750373000,Communication Services,Telecom Services,0.384,39.9,2.66,3046991,New York Stock Exchange,NYSE,US,False,False,True
28,CAT,Caterpillar Inc.,166559707695,Industrials,Farm & Heavy Construction Machinery,1.152,333.535,5.2,602026,New York Stock Exchange,NYSE,US,False,False,True
29,UBER,"Uber Technologies, Inc.",161514323000,Technology,Software—Application,1.368,77.782,0.0,5040061,New York Stock Exchange,NYSE,US,False,False,True
30,AXP,American Express Company,158918419800,Financial Services,Credit Services,1.23,219.54,2.8,715786,New York Stock Exchange,NYSE,US,False,False,True
31,PFE,Pfizer Inc.,156585209400,Healthcare,Drug Manufacturers—General,0.557,27.73,1.68,15946897,New York Stock Exchange,NYSE,US,False,False,True
32,NOW,"ServiceNow, Inc.",153280550000,Technology,Software—Application,0.972,747.71,0.0,321273,New York Stock Exchange,NYSE,US,False,False,True
33,NKE,"NIKE, Inc.",153174086051,Consumer Cyclical,Footwear & Accessories,1.101,101.09,1.48,2367372,New York Stock Exchange,NYSE,US,False,False,True
34,UNP,Union Pacific Corporation,151398730730,Industrials,Railroads,1.076,248.285,5.2,294827,New York Stock Exchange,NYSE,US,False,False,True
35,BX,Blackstone Inc.,151005028454,Financial Services,Asset Management,1.499,124.605,3.35,600109,New York Stock Exchange,NYSE,US,False,False,True
36,PM,Philip Morris International Inc.,144867804900,Consumer Defensive,Tobacco,0.632,93.315,5.2,851126,New York Stock Exchange,NYSE,US,False,False,True
37,MS,Morgan Stanley,141123801000,Financial Services,Capital Markets,1.413,86.3,3.4,1294915,New York Stock Exchange,NYSE,US,False,False,True
38,LOW,"Lowe's Companies, Inc.",137656172115,Consumer Cyclical,Home Improvement Retail,1.12,239.355,4.4,447348,New York Stock Exchange,NYSE,US,False,False,True
39,SYK,Stryker Corporation,135670589920,Healthcare,Medical Devices,0.899,356.78,3.2,358110,New York Stock Exchange,NYSE,US,False,False,True
40,SPGI,S&P Global Inc.,133404552000,Financial Services,Financial Data & Stock Exchanges,1.152,424.72,3.64,215549,New York Stock Exchange,NYSE,US,False,False,True
41,COP,ConocoPhillips,133322545300,Energy,Oil & Gas E&P,1.244,113.33,2.47,1238067,New York Stock Exchange,NYSE,US,False,False,True
42,UPS,"United Parcel Service, Inc.",131607010924,Industrials,Integrated Freight & Logistics,1.049,154.35,6.52,501688,New York Stock Exchange,NYSE,US,False,False,True
43,GS,"The Goldman Sachs Group, Inc.",124912011840,Financial Services,Capital Markets,1.416,383.68,11.0,450687,New York Stock Exchange,NYSE,US,False,False,True
44,PLD,"Prologis, Inc.",124202084514,Real Estate,REIT—Industrial,1.014,134.2898,3.84,479366,New York Stock Exchange,NYSE,US,False,False,True
45,T,AT&T Inc.,123850558850,Communication Services,Telecom Services,0.694,17.315,1.11,7989242,New York Stock Exchange,NYSE,US,False,False,True
46,BLK,"BlackRock, Inc.",122805657840,Financial Services,Asset Management,1.383,824.52,20.4,114646,New York Stock Exchange,NYSE,US,False,False,True
47,RTX,Raytheon Technologies Corporation,120993627700,Industrials,Aerospace & Defense,0.611,91.19,2.36,1488850,New York Stock Exchange,NYSE,US,False,False,True
48,SCHW,The Charles Schwab Corporation,118769955600,Financial Services,Capital Markets,0.996,66.97,1.0,1853769,New York Stock Exchange,NYSE,US,False,False,True
49,ELV,Elevance Health Inc.,117613016155,Healthcare,Healthcare Plans,0.783,505.495,6.52,153156,New York Stock Exchange,NYSE,US,False,False,True
50,NEE,"NextEra Energy, Inc.",117522141743,Utilities,Utilities—Regulated Electric,0.497,57.26,2.06,2595331,New York Stock Exchange,NYSE,US,False,False,True
51,BA,The Boeing Company,116749942385,Industrials,Aerospace & Defense,1.522,191.351,0.0,7062274,New York Stock Exchange,NYSE,US,False,False,True
52,PGR,The Progressive Corporation,115056443100,Financial Services,Insurance—Property & Casualty,0.347,196.45,1.15,563234,New York Stock Exchange,NYSE,US,False,False,True
53,TJX,"The TJX Companies, Inc.",109432073600,Consumer Cyclical,Apparel Retail,0.866,96.02,1.33,993892,New York Stock Exchange,NYSE,US,False,False,True
54,BMY,Bristol-Myers Squibb Company,109309480450,Healthcare,Drug Manufacturers—General,0.372,54.055,2.4,3670894,New York Stock Exchange,NYSE,US,False,False,True
55,C,Citigroup Inc.,108928976300,Financial Services,Banks—Diversified,1.498,56.99,2.1,3110580,New York Stock Exchange,NYSE,US,False,False,True
56,LMT,Lockheed Martin Corporation,104897105479,Industrials,Aerospace & Defense,0.475,434.0995,12.6,264923,New York Stock Exchange,NYSE,US,False,False,True
57,DE,Deere & Company,103588146120,Industrials,Farm & Heavy Construction Machinery,1.033,372.14,5.88,206185,New York Stock Exchange,NYSE,US,False,False,True
58,MMC,"Marsh & McLennan Companies, Inc.",100632150080,Financial Services,Insurance Brokers,0.891,204.68,2.84,182905,New York Stock Exchange,NYSE,US,False,False,True
59,CI,Cigna Corporation,100143281700,Healthcare,Healthcare Plans,0.558,342.54,5.6,273437,New York Stock Exchange,NYSE,US,False,False,True
60,BSX,Boston Scientific Corporation,97752873000,Healthcare,Medical Devices,0.779,66.63,0.0,1716663,New York Stock Exchange,NYSE,US,False,False,True
61,AMT,American Tower Corporation,95942596960,Real Estate,REIT—Specialty,0.676,205.73,6.8,383834,New York Stock Exchange,NYSE,US,False,False,True
62,CVS,CVS Health Corporation,94698362500,Healthcare,Healthcare Plans,0.499,75.25,2.66,1155351,New York Stock Exchange,NYSE,US,False,False,True
63,FI,"Fiserv, Inc.",88406945220,Technology,Information Technology Services,0.907,149.74,0.0,514924,New York Stock Exchange,NYSE,US,False,False,True
64,KKR,KKR & Co. Inc.,86704037820,Financial Services,Asset Management,1.619,97.97,0.66,1169892,New York Stock Exchange,NYSE,US,False,False,True
65,SHW,The Sherwin-Williams Company,85628744825,Basic Materials,Specialty Chemicals,1.153,336.505,2.86,210725,New York Stock Exchange,NYSE,US,False,False,True
66,DELL,Dell Technologies Inc.,85371412664,Technology,Computer Hardware,0.962,116.0,1.78,2504315,New York Stock Exchange,NYSE,US,False,False,True
