,Date,Calculated Price
1483,2023-08-01,4507.66
1482,2023-07-01,4449.373210936728
1481,2023-06-01,4500.2257620478695
1480,2023-05-01,4332.138777481584
1479,2023-04-01,4128.205429275381
1478,2023-03-01,4097.881109068276
1477,2023-02-01,3940.270297181034
1476,2023-01-01,4045.036748979606
1475,2022-12-01,3921.5092088992783
1474,2022-11-01,3868.129028308619
1473,2022-10-01,3867.742254083211
1472,2022-09-01,3673.4184196820315
1471,2022-08-01,3790.5463003632563
1470,2022-07-01,4088.1646897791807
1469,2022-06-01,3840.4553215398596
1468,2022-05-01,3822.8701189924946
1467,2022-04-01,3956.19385179809
1466,2022-03-01,4294.142897859644
1465,2022-02-01,4288.9961025366
1464,2022-01-01,4327.510949991525
1463,2021-12-01,4456.7569000942585
1462,2021-11-01,4550.03256773278
1461,2021-10-01,4537.780560220186
1460,2021-09-01,4332.423677888281
1459,2021-08-01,4313.0151098937595
1458,2021-07-01,4316.4682845213765
1457,2021-06-01,4223.9634842170235
1456,2021-05-01,4098.150270900382
1455,2021-04-01,4025.2924770654963
1454,2021-03-01,3994.931001454442
1453,2021-02-01,3768.091870830449
1452,2021-01-01,3737.4448232795567
1451,2020-12-01,3646.6434025559147
1450,2020-11-01,3547.3184849765707
1449,2020-10-01,3402.377215592337
1448,2020-09-01,3273.0901544899825
1447,2020-08-01,3217.4286390346824
1446,2020-07-01,3237.826948812199
1445,2020-06-01,3057.7268380509954
1444,2020-05-01,2954.896441873788
1443,2020-04-01,2774.2901529187757
1442,2020-03-01,2619.9737018781525
1441,2020-02-01,2511.4778583954685
1440,2020-01-01,3097.5306590965324
1439,2019-12-01,3093.8180774036477
1438,2019-11-01,2993.5346660896444
1437,2019-10-01,2921.37666252527
1436,2019-09-01,2797.4496433259314
1435,2019-08-01,2797.169926333298
1434,2019-07-01,2713.3280884016863
1433,2019-06-01,2800.999368640122
1432,2019-05-01,2697.6782901282118
1431,2019-04-01,2660.4322387852185
1430,2019-03-01,2701.7693092162267
1429,2019-02-01,2604.868211739517
1428,2019-01-01,2555.0448374100215
1427,2018-12-01,2414.29163508459
1426,2018-11-01,2373.0014105411733
1425,2018-10-01,2512.7079738894254
1424,2018-09-01,2566.0824896746585
1423,2018-08-01,2668.8325425633475
1422,2018-07-01,2624.736961608328
1421,2018-06-01,2561.9687277777725
1420,2018-05-01,2522.119243726888
1419,2018-04-01,2470.0021973625385
1418,2018-03-01,2422.520789880873
1417,2018-02-01,2463.4134532040603
1416,2018-01-01,2461.936291429203
1415,2017-12-01,2535.2036777151716
1414,2017-11-01,2417.7032974586796
1413,2017-10-01,2350.0226452747665
1412,2017-09-01,2313.2420959491747
1411,2017-08-01,2251.768807504307
1410,2017-07-01,2215.21771520345
1409,2017-06-01,2209.6934814997007
1408,2017-05-01,2188.0319650457477
1407,2017-04-01,2149.7661279679187
1406,2017-03-01,2114.0388710472207
1405,2017-02-01,2117.2146930868507
1404,2017-01-01,2080.8006811664377
1403,2016-12-01,2028.4662518682371
1402,2016-11-01,1999.6709896177417
1401,2016-10-01,1923.685415697683
1400,2016-09-01,1900.8749166973153
1399,2016-08-01,1910.6190739745857
1398,2016-07-01,1919.0629509588043
1397,2016-06-01,1896.3072637932848
1396,2016-05-01,1835.7282321328994
1395,2016-04-01,1816.2938875362615
1394,2016-03-01,1821.7591650313557
1393,2016-02-01,1771.6222552089425
1392,2016-01-01,1665.6847077932891
1391,2015-12-01,1674.8966393094913
1390,2015-11-01,1789.8019227500442
1389,2015-10-01,1809.7087186552521
1388,2015-09-01,1758.1936448608296
1387,2015-08-01,1685.3850123282493
1386,2015-07-01,1764.9858753044814
1385,2015-06-01,1808.7578144132829
1384,2015-05-01,1810.20597919664
1383,2015-04-01,1818.2060859749297
1382,2015-03-01,1800.5605921716474
1381,2015-02-01,1784.8538780448528
1380,2015-01-01,1783.783607880125
1379,2014-12-01,1734.6918291161383
1378,2014-11-01,1754.1630388473438
1377,2014-10-01,1743.1809985564382
1376,2014-09-01,1649.0218508716662
1375,2014-08-01,1693.9104785533293
1374,2014-07-01,1664.2861844697675
1373,2014-06-01,1671.4735206083835
1372,2014-05-01,1646.7719414860924
1371,2014-04-01,1595.7092456260584
1370,2014-03-01,1571.662804713935
1369,2014-02-01,1568.52575320752
1368,2014-01-01,1526.99158217243
1367,2013-12-01,1528.9792552041954
1366,2013-11-01,1514.2906360346592
1365,2013-10-01,1491.6180417993096
1364,2013-09-01,1436.1814382816383
1363,2013-08-01,1406.3664691359559
1362,2013-07-01,1389.8275216285758
1361,2013-06-01,1386.3616175846144
1360,2013-05-01,1342.7231163047113
1359,2013-04-01,1357.931954191658
1358,2013-03-01,1298.586548906625
1357,2013-02-01,1280.0261694496057
1356,2013-01-01,1246.1313954922175
1355,2012-12-01,1217.757642423744
1354,2012-11-01,1167.8887910460767
1353,2012-10-01,1142.9720014152247
1352,2012-09-01,1176.3812282989138
1351,2012-08-01,1178.974973240042
1350,2012-07-01,1144.413680100992
1349,2012-06-01,1106.8901055237372
1348,2012-05-01,1075.4859167545058
1347,2012-04-01,1087.997892518468
1346,2012-03-01,1122.6889820642534
1345,2012-02-01,1123.138237359197
1344,2012-01-01,1091.6973535762024
1343,2011-12-01,1048.0965376115614
1342,2011-11-01,1000.2830097457161
1341,2011-10-01,985.015273013999
1340,2011-09-01,967.8837309757286
1339,2011-08-01,939.5105134689658
1338,2011-07-01,946.9917482803808
1337,2011-06-01,1056.9104333486391
1336,2011-05-01,1025.1313611528992
1335,2011-04-01,1064.0765633723263
1334,2011-03-01,1057.0997053172325
1333,2011-02-01,1034.1417582833424
1332,2011-01-01,1045.7495786058676
1331,2010-12-01,1013.814424242237
1330,2010-11-01,979.9095536847449
1329,2010-10-01,944.8554176885016
1328,2010-09-01,921.9001050722038
